freq,layer1,layer2,layer3
ASV6,XMDVSXMH,Bacteroidetes,Pedobacter
ASV12,XMDVSXMH,Bacteroidetes,Parapedobacter
ASV11,XMDVSXMH,Proteobacteria,Devosia
ASV24,XMDVSXMH,Proteobacteria,Rhizobium
ASV48,XMDVSXMH,Proteobacteria,Luteimonas
ASV64,XMDVSXMH,Firmicutes,Bacillus
ASV28,XMDVSXMH,Saccharibacteria,Unassigned
ASV67,XMDVSXMH,Firmicutes,Bacillus
ASV680,XMDVSXMH,Bacteroidetes,Pedobacter
ASV83,XMDVSXMH,Firmicutes,Bacillus
ASV60,XMDVSXMH,Proteobacteria,Luteimonas
ASV50,XMDVSXMH,Bacteroidetes,Algoriphagus
ASV73,XMDVSXMH,Proteobacteria,Lysobacter
ASV52,XMDVSXMH,Bacteroidetes,Sphingobacterium
ASV57,XMDVSXMH,Saccharibacteria,Unassigned
ASV69,XMDVSXMH,Bacteroidetes,Parafilimonas
ASV63,XMDVSXMH,Bacteroidetes,Sphingobacterium
ASV80,XMDVSXMH,Bacteroidetes,Algoriphagus
ASV86,XMDVSXMH,Proteobacteria,Luteimonas
ASV129,XMDVSXMH,Proteobacteria,Lysobacter
ASV88,XMDVSXMH,Proteobacteria,Stenotrophomonas
ASV100,XMDVSXMH,Proteobacteria,Pusillimonas
ASV911,XMDVSXMH,Firmicutes,Bacillus
ASV204,XMDVSXMH,Proteobacteria,Luteimonas
ASV445,XMDVSXMH,Actinobacteria,Kribbella
ASV113,XMDVSXMH,Saccharibacteria,Unassigned
ASV149,XMDVSXMH,Bacteroidetes,Sphingobacterium
ASV217,XMDVSXMH,Bacteroidetes,Pedobacter
ASV112,XMDVSXMH,Proteobacteria,Brevundimonas
ASV189,XMDVSXMH,Proteobacteria,Phyllobacterium
ASV135,XMDVSXMH,Proteobacteria,Albidiferax
ASV211,XMDVSXMH,Bacteroidetes,Unassigned
ASV197,XMDVSXMH,Bacteroidetes,Pedobacter
ASV210,XMDVSXMH,Proteobacteria,Lysobacter
