,S1vsS2,S1vsS3,S1vsS4,S2vsS3,S2vsS4,S3vsS4
itf00g00020,0,0,1,0,1,1
itf00g00030,0,0,0,0,0,0
itf00g00040,1,0,0,1,1,0
itf00g00070,0,0,0,0,0,0
itf00g00110,1,0,0,1,1,0
itf00g00170,0,1,0,0,0,1
itf00g00210,0,0,0,0,0,0
itf00g00300,0,0,0,0,0,0
itf00g00350,0,1,0,1,1,0
itf00g00410,0,0,1,0,1,1
itf00g00430,1,0,0,1,1,0
itf00g00470,0,0,0,0,0,1
itf00g00590,1,0,1,1,0,1
itf00g00600,0,0,0,0,0,0
itf00g00610,1,1,1,0,1,0
itf00g00620,1,1,0,1,1,1
itf00g00670,0,1,0,1,0,1
itf00g00730,1,1,0,1,1,1
itf00g00740,1,1,0,1,1,0
itf00g00770,0,0,0,0,0,0
itf00g00780,0,0,1,0,1,1
itf00g00840,0,0,0,0,0,0
itf00g00890,0,0,0,0,0,0
itf00g01070,1,1,1,1,1,1
itf00g01080,0,1,0,0,0,1
itf00g01090,0,0,0,0,0,0
itf00g01120,1,0,0,1,1,0
itf00g01130,0,1,1,0,1,1
itf00g01190,0,0,1,0,1,0
itf00g01260,0,1,0,0,0,1
itf00g01270,0,0,1,1,1,1
itf00g01290,1,1,0,1,1,1
itf00g01310,0,0,0,0,0,0
itf00g01380,1,1,1,1,1,0
itf00g01500,1,1,0,1,1,1
itf00g01540,0,1,1,0,1,0
itf00g01590,1,0,1,1,0,1
itf00g01630,0,0,0,1,0,0
itf00g01700,1,1,1,0,0,0
itf00g01770,1,0,0,1,1,0
itf00g01790,0,0,0,1,1,0
itf00g01800,1,0,0,1,1,0
itf00g01940,1,0,0,1,1,0
itf00g01950,1,0,0,1,1,0
itf00g02010,0,1,0,0,0,1
itf00g02030,0,0,0,0,0,0
itf00g02050,0,0,0,0,0,0
itf00g02070,1,1,0,1,1,1
itf00g02080,1,1,0,1,1,0
itf00g02090,1,1,1,1,1,1
itf00g02160,0,1,0,0,0,1
itf00g02350,1,1,0,1,1,1
itf00g02360,0,1,0,0,0,1
itf00g02370,0,0,0,1,0,0
itf00g02410,0,0,0,0,0,1
itf00g02440,1,0,1,1,1,0
itf00g02470,0,0,0,0,0,0
itf00g02490,0,1,1,0,1,1
itf00g02500,1,0,0,1,1,0
itf00g02520,1,0,0,1,1,1
itf00g02530,0,1,1,1,1,0
itf00g02550,0,0,0,1,0,0
itf00g02570,0,1,1,1,1,0
itf00g02580,0,1,0,0,0,1
itf00g02600,1,1,0,1,1,1
itf00g02630,0,0,0,0,0,0
itf00g02720,0,0,0,0,0,0
itf00g02810,1,1,1,0,0,0
itf00g02820,0,1,0,0,0,1
itf00g02870,0,0,0,0,0,0
itf00g02880,0,1,0,0,0,1
itf00g02890,0,1,0,0,0,1
itf00g02960,1,0,0,1,1,0
itf00g02990,0,1,1,1,0,1
itf00g03040,1,1,0,1,1,1
itf00g03050,1,1,0,1,1,1
itf00g03060,0,1,0,1,0,1
itf00g03070,0,1,0,1,0,1
itf00g03080,1,1,0,1,1,1
itf00g03210,0,0,0,0,0,0
itf00g03240,0,1,1,0,1,1
itf00g03260,0,1,0,1,0,1
itf00g03300,0,1,0,0,0,1
itf00g03410,1,1,1,0,0,1
itf00g03420,0,1,1,1,1,1
itf00g03430,0,1,1,0,0,1
itf00g03500,0,1,0,0,0,1
itf00g03520,0,1,1,1,1,0
itf00g03550,0,0,0,1,0,0
itf00g03580,1,1,1,1,1,0
itf00g03590,1,0,0,1,1,0
itf00g03630,0,0,1,0,1,1
itf00g03640,0,1,0,1,0,1
itf00g03650,1,0,1,1,1,1
itf00g03660,1,0,1,1,1,1
itf00g03670,1,0,1,1,0,0
itf00g03680,0,1,1,0,1,1
itf00g03690,1,1,0,1,1,1
itf00g03720,0,1,0,1,0,1
itf00g03770,0,1,0,0,0,1
itf00g03800,1,0,0,1,1,0
itf00g03810,1,0,1,1,1,1
itf00g04010,0,0,0,0,0,0
itf00g04040,1,0,0,1,1,0
itf00g04090,0,0,0,1,0,0
itf00g04110,0,0,0,0,0,0
itf00g04120,0,0,0,0,0,0
itf00g04160,0,0,1,1,1,1
itf00g04200,1,1,1,0,0,1
itf00g04240,0,0,1,0,0,1
itf00g04310,1,1,1,1,1,0
itf00g04360,0,0,1,0,0,0
itf00g04400,0,0,0,0,0,0
itf00g04420,1,0,0,0,0,0
itf00g04440,1,0,0,0,0,0
itf00g04500,0,1,0,0,0,1
itf00g04520,0,0,0,0,1,0
itf00g04550,0,0,0,1,0,0
itf00g04750,0,1,1,1,1,0
itf00g04760,0,1,0,1,0,1
itf00g04780,0,0,1,0,1,1
itf00g04820,1,1,1,0,0,1
itf00g04880,0,1,0,0,0,1
itf00g04900,0,1,0,1,0,1
itf00g04910,0,1,0,0,0,1
itf00g05070,1,0,0,1,1,0
itf00g05080,0,0,0,0,0,0
itf00g05170,0,1,1,0,1,1
itf00g05240,0,0,0,0,0,0
itf00g05250,0,0,0,0,0,0
itf00g05290,1,0,1,0,0,1
itf00g05350,1,0,0,1,1,0
itf00g05360,1,0,0,1,1,0
itf00g05370,1,0,0,1,1,0
itf00g05390,0,0,0,0,1,1
itf00g05490,1,0,0,1,1,0
itf00g05580,0,0,0,0,0,0
itf00g05640,1,0,0,1,1,0
itf00g05650,0,1,0,1,0,1
itf00g05720,1,1,0,0,1,1
itf00g05750,0,0,0,0,0,0
itf00g05800,1,1,0,1,1,1
itf00g05870,0,1,0,0,0,1
itf00g05950,0,1,1,0,0,0
itf00g05960,0,1,1,1,1,0
itf00g05990,0,1,0,0,0,1
itf00g06060,0,0,0,0,1,0
itf00g06090,0,0,0,0,0,0
itf00g06120,1,1,1,1,1,0
itf00g06130,1,0,0,1,1,0
itf00g06200,1,1,0,0,1,1
itf00g06240,0,0,0,0,0,0
itf00g06400,0,0,1,0,0,1
itf00g06430,1,1,1,1,1,1
itf00g06440,1,0,1,1,0,1
itf00g06450,0,0,0,0,0,0
itf00g06510,0,0,0,0,0,0
itf00g06550,0,1,1,1,1,0
itf00g06560,0,0,0,0,0,0
itf00g06640,0,0,1,0,0,1
itf00g06650,1,1,0,0,1,1
itf00g06660,0,1,0,0,1,1
itf00g06690,0,0,0,1,0,0
itf00g06710,0,0,0,0,0,0
itf00g06910,0,1,1,1,1,1
itf00g06930,1,1,0,0,0,0
itf00g06950,0,0,1,0,0,1
itf00g07070,0,1,1,1,1,0
itf00g07110,1,1,1,1,0,0
itf00g07200,0,1,1,1,1,0
itf00g07240,0,1,1,1,1,0
itf00g07340,1,1,1,1,1,1
itf00g07350,1,0,0,1,1,1
itf00g07360,0,0,1,0,1,1
itf00g07380,0,0,0,0,0,0
itf00g07440,1,1,1,0,1,0
itf00g07450,1,0,1,1,0,1
itf00g07460,1,1,1,0,0,0
itf00g07520,1,1,1,1,1,0
itf00g07590,0,1,0,1,0,1
itf00g07860,1,0,0,0,0,0
itf00g07880,0,0,0,0,0,0
itf00g07890,1,1,1,0,0,0
itf00g08090,1,1,0,1,1,0
itf00g08100,0,0,0,0,0,0
itf00g08110,0,1,0,1,0,1
itf00g08120,1,0,0,1,1,0
itf00g08140,0,0,0,0,0,0
itf00g08160,1,0,1,1,1,1
itf00g08270,1,0,0,1,1,0
itf00g08380,0,0,1,0,1,1
itf00g08390,1,0,1,1,1,1
itf00g08500,0,0,0,0,0,0
itf00g08510,0,0,0,0,0,0
itf00g08530,0,1,0,0,0,1
itf00g08550,0,0,1,0,1,0
itf00g08600,0,0,0,0,0,0
itf00g08610,0,0,1,0,0,1
itf00g08620,1,1,1,0,0,0
itf00g08630,1,0,1,1,0,0
itf00g08650,0,1,0,0,0,1
itf00g08670,0,0,0,1,0,0
itf00g08680,1,0,0,1,1,0
itf00g08690,0,1,0,1,1,0
itf00g08810,1,0,1,1,1,1
itf00g08830,1,1,0,0,1,1
itf00g08860,0,0,0,1,0,0
itf00g08880,1,0,0,1,1,0
itf00g08890,1,0,0,1,1,0
itf00g08930,1,1,1,1,1,0
itf00g09040,0,0,0,1,0,1
itf00g09070,1,0,0,1,1,0
itf00g09080,0,1,1,0,1,1
itf00g09110,0,0,1,0,1,1
itf00g09120,1,1,1,1,0,1
itf00g09130,1,1,1,1,1,1
itf00g09160,1,1,1,1,1,1
itf00g09180,0,1,0,1,0,1
itf00g09200,1,1,0,1,1,1
itf00g09300,0,0,0,0,1,0
itf00g09330,1,0,1,1,0,1
itf00g09340,0,0,0,0,0,0
itf00g09620,1,1,1,1,1,0
itf00g09660,1,1,1,0,0,0
itf00g09670,0,1,0,0,0,1
itf00g09700,0,0,0,1,0,0
itf00g09840,0,0,0,0,0,0
itf00g09940,0,0,0,0,0,0
itf00g09950,1,0,0,1,1,0
itf00g09980,0,1,0,0,0,1
itf00g09990,0,1,1,1,1,0
itf00g10100,1,0,1,1,1,1
itf00g10140,0,0,0,1,0,0
itf00g10530,0,1,0,1,0,1
itf00g10550,1,0,1,1,1,1
itf00g10570,1,1,0,1,1,1
itf00g10600,0,1,0,0,0,1
itf00g10650,1,1,1,0,0,0
itf00g10660,1,1,1,0,0,1
itf00g10730,0,0,0,0,0,0
itf00g10740,1,1,1,0,0,0
itf00g10750,1,1,0,0,0,0
itf00g10770,0,1,1,0,0,0
itf00g10780,0,1,1,1,1,0
itf00g10800,0,1,1,0,0,0
itf00g10820,1,0,1,1,0,1
itf00g10830,0,1,1,0,1,0
itf00g10840,0,1,1,0,1,0
itf00g10850,0,1,1,1,1,0
itf00g10880,0,0,0,0,1,0
itf00g10890,1,0,0,1,1,0
itf00g10900,1,0,0,1,1,0
itf00g10910,1,0,0,1,0,0
itf00g10940,0,0,1,0,1,0
itf00g10960,1,0,0,1,1,0
itf00g10970,1,0,0,1,1,0
itf00g11030,0,0,0,1,0,0
itf00g11040,0,0,0,1,0,0
itf00g11050,0,1,0,1,0,1
itf00g11060,1,0,1,0,0,1
itf00g11070,0,0,0,0,0,0
itf00g11080,1,0,1,1,0,1
itf00g11100,1,0,0,1,1,0
itf00g11110,1,1,1,1,0,0
itf00g11130,0,0,1,0,1,1
itf00g11140,0,0,0,1,0,0
itf00g11150,1,0,1,0,1,1
itf00g11230,1,1,0,1,1,0
itf00g11260,0,0,0,1,0,0
itf00g11270,0,1,1,1,1,1
itf00g11320,0,0,0,0,0,0
itf00g11350,1,1,1,0,0,0
itf00g11360,0,1,0,0,0,1
itf00g11430,0,1,0,0,0,1
itf00g11500,0,1,1,1,1,1
itf00g11520,0,0,1,0,1,1
itf00g11680,0,1,1,1,0,1
itf00g11780,0,0,0,1,0,0
itf00g11800,1,0,1,1,0,1
itf00g11900,1,1,0,1,1,0
itf00g11970,1,0,1,1,1,1
itf00g11980,0,0,0,0,0,0
itf00g12320,1,0,1,1,0,0
itf00g12410,0,0,0,1,0,0
itf00g12440,0,1,1,0,1,1
itf00g12470,1,0,0,1,1,0
itf00g12550,1,1,1,1,1,0
itf00g12630,0,0,0,0,1,0
itf00g12700,0,1,0,1,0,1
itf00g12720,0,1,0,0,0,0
itf00g12800,1,0,0,1,1,0
itf00g12930,1,1,0,1,1,1
itf00g13070,0,1,0,0,0,1
itf00g13080,0,0,1,1,1,1
itf00g13090,0,1,1,0,0,0
itf00g13100,0,0,0,0,0,0
itf00g13110,0,0,0,0,1,0
itf00g13130,1,0,1,1,1,1
itf00g13140,1,0,0,1,1,0
itf00g13150,0,0,1,0,1,1
itf00g13190,0,1,0,0,0,1
itf00g13200,0,0,1,0,1,0
itf00g13230,0,1,1,0,0,0
itf00g13310,1,1,0,1,1,1
itf00g13410,1,1,0,1,1,1
itf00g13430,0,0,0,0,0,0
itf00g13450,0,0,0,0,0,1
itf00g13530,0,0,0,0,0,0
itf00g13570,1,0,1,0,0,1
itf00g13580,0,1,0,1,0,0
itf00g13610,1,1,1,0,0,1
itf00g13630,1,0,0,1,1,0
itf00g13640,1,1,1,1,1,0
itf00g13720,1,1,1,0,0,0
itf00g13780,1,0,1,1,0,1
itf00g13800,0,0,0,1,0,0
itf00g13830,1,0,0,1,1,1
itf00g13860,0,1,0,1,0,1
itf00g13870,1,0,0,1,1,0
itf00g13880,0,1,1,1,1,0
