c1	c2	c3	c4	c5	c6
gene1193	gene1253	gene1236	gene1325	gene1246	gene1414
gene1194	gene1254	gene1241	gene1327	gene1247	gene1416
gene1195	gene1255	gene1243	gene1328	gene1248	gene1417
gene1197	gene1256	gene1244	gene1329	gene1249	gene1421
gene1199	gene1257	gene1246	gene1330	gene1250	gene1422
gene1202	gene1259	gene1247	gene1331	gene1251	gene1425
gene1203	gene1260	gene1248	gene1332	gene1254	gene1426
gene1205	gene1261	gene1249	gene1333	gene1255	gene1431
gene1206	gene1263	gene1251	gene1335	gene1256	gene1433
gene1208	gene1267	gene1253	gene1336	gene1259	gene1434
gene1209	gene1268	gene1255	gene1338	gene1260	gene1436
gene1213	gene1269	gene1259	gene1340	gene1261	gene1437
gene1215	gene1270	gene1260	gene1341	gene1262	gene1441
gene1217	gene1272	gene1261	gene1343	gene1263	gene1443
gene1218	gene1273	gene1262	gene1344	gene1265	gene1444
gene1220	gene1275	gene1263	gene1347	gene1266	gene1445
gene1221	gene1276	gene1265	gene1349	gene1268	gene1446
gene1222	gene1278	gene1266	gene1352	gene1269	gene1447
gene1223	gene1282	gene1268	gene1353	gene1270	gene1449
gene1224	gene1285	gene1269	gene1354	gene1271	gene1451
gene1225	gene1286	gene1270	gene1355	gene1272	gene1452
gene1226	gene1287	gene1272	gene1356	gene1275	gene1456
gene1227	gene1288	gene1273	gene1357	gene1282	gene1457
gene1229	gene1291	gene1276	gene1359	gene1283	gene1459
gene1231	gene1292	gene1278	gene1361	gene1284	gene1460
gene1232	gene1293	gene1279	gene1363	gene1285	gene1461
gene1233	gene1294	gene1282	gene1364	gene1286	gene1463
gene1235	gene1295	gene1283	gene1365	gene1287	gene1465
gene1237	gene1296	gene1284	gene1367	gene1289	gene1466
gene1238	gene1297	gene1285	gene1368	gene1291	gene1469
gene1240	gene1299	gene1286	gene1371	gene1292	gene1471
gene1241	gene1301	gene1287	gene1373	gene1293	gene1474
gene1242	gene1302	gene1288	gene1374	gene1295	gene1476
