OTU ID,L918B1,L918B2,L918B3,L918F1,L918F2,L918F3,L918H1,L918H2,L918H3,L918S1,L918S2,L918S3,L918T1,L918T2,L918T3,L919B1,L919B2,L919B3,L919F1,L919F2,L919F3,L919H1,L919H2,L919H3,L919S1,L919S2,L919S3,L919T1,L919T2,L919T3,L920B1,L920B2,L920B3,L920F1,L920F2,L920F3,L920H1,L920H2,L920H3,L920S1,L920S2,L920S3,L920T1,L920T2,L920T3
OTU1,490,314,86,220,368,227,379,218,46,7,20,8,283,203,32,153,245,460,423,205,39,143,289,156,395,256,57,235,333,223,91,21,2,134,265,203,15,3,0,181,414,258,408,247,53
OTU2,459,326,70,102,149,88,238,154,33,2,17,14,190,162,13,193,256,467,262,128,22,190,343,190,415,274,39,153,245,177,68,19,0,114,232,135,3,2,0,135,299,172,218,167,27
OTU3,179,109,29,111,193,126,139,96,14,4,4,3,63,68,5,72,94,162,163,87,16,69,135,76,222,103,21,58,148,87,98,10,1,143,310,185,14,5,0,181,410,281,372,216,45
OTU4,85,100,125,173,109,70,81,126,195,11,10,4,68,105,63,113,33,135,152,126,168,219,165,260,117,101,150,226,120,154,10,11,3,354,200,231,4,0,1,158,118,156,223,204,208
OTU5,155,183,79,66,95,87,101,125,43,7,5,10,69,146,24,48,98,235,133,96,68,60,109,111,138,183,62,111,157,134,12,18,3,65,96,132,0,1,0,36,75,92,116,115,55
OTU6,128,142,182,175,143,117,143,133,244,12,5,6,119,135,161,142,88,229,151,119,172,258,201,176,81,102,113,179,157,130,13,4,10,281,221,173,2,0,1,117,139,98,129,216,247
OTU7,384,202,50,47,98,69,198,89,28,8,9,4,157,118,7,93,141,244,143,65,13,117,253,124,213,145,16,69,158,75,23,2,1,65,155,53,1,3,0,72,187,126,143,143,17
OTU8,82,92,96,227,131,120,123,119,175,3,4,9,63,91,84,110,58,156,179,135,171,180,132,161,70,65,91,216,117,152,14,7,8,210,168,133,0,0,1,66,74,73,185,182,185
OTU9,116,84,152,281,148,182,106,90,96,8,8,2,76,116,139,103,47,201,196,184,179,129,117,91,85,106,97,213,126,158,12,8,11,150,123,132,0,0,0,104,69,83,198,186,283
OTU10,197,197,205,84,51,140,96,59,247,1,3,6,89,70,53,56,62,105,62,53,130,242,482,187,69,119,93,225,72,59,4,6,2,87,164,69,0,0,0,55,72,34,125,143,88
OTU11,122,115,175,82,57,53,110,91,174,9,10,9,87,94,107,102,65,198,119,89,74,180,150,137,69,70,122,150,108,118,4,7,5,172,127,95,3,0,1,112,79,74,83,150,153
OTU12,51,42,69,205,139,151,57,86,103,4,3,1,79,139,126,65,28,98,177,144,176,71,64,60,77,87,93,203,125,137,3,1,2,140,120,123,0,0,1,69,57,49,182,155,193
OTU13,54,73,24,85,84,93,59,50,21,3,4,1,29,51,26,35,24,62,79,109,33,40,56,35,63,61,25,78,67,80,4,2,3,53,100,99,0,2,1,55,61,66,133,134,52
OTU14,68,91,46,49,75,66,129,128,57,2,6,4,59,103,17,34,67,146,101,87,36,73,146,129,71,65,29,66,73,79,13,2,1,65,89,126,0,0,0,32,74,48,70,95,34
OTU15,99,86,109,116,82,67,150,120,139,4,4,8,100,102,85,93,61,164,154,108,128,196,146,131,104,72,98,195,134,131,11,0,5,107,68,77,0,0,0,43,35,36,75,65,65
OTU16,71,73,118,125,96,107,96,121,200,5,7,7,87,112,97,119,60,164,108,138,162,190,132,109,72,76,73,140,100,89,5,4,10,136,97,94,1,1,2,60,44,77,82,92,106
OTU17,54,48,53,201,199,150,127,71,106,2,10,0,73,109,63,62,55,99,225,156,139,90,143,79,65,71,53,138,122,111,5,5,6,93,146,98,0,0,0,45,82,52,187,110,141
OTU18,49,38,18,91,116,96,48,48,24,1,3,2,38,67,15,44,31,78,137,119,46,47,60,77,38,58,19,90,77,99,3,6,0,59,71,76,1,0,0,19,45,43,89,76,38
OTU19,61,83,40,45,34,48,94,128,78,3,2,3,47,72,20,37,39,198,93,68,37,92,142,168,81,64,28,84,81,118,8,6,1,61,112,159,0,2,0,62,63,133,92,135,43
OTU20,98,74,66,198,107,140,96,49,81,2,4,2,87,102,71,59,34,78,194,110,126,105,51,53,65,43,57,111,87,113,14,4,5,92,81,64,2,0,1,46,31,34,168,95,140
OTU21,57,67,110,255,112,140,109,113,173,4,4,1,54,65,56,96,54,142,147,92,165,170,106,135,45,80,111,136,66,93,3,5,3,151,87,98,0,2,1,83,48,44,56,80,128
OTU22,47,55,64,223,112,157,27,54,65,3,3,3,59,97,91,47,34,69,115,88,134,83,52,50,64,78,69,179,90,100,4,3,1,107,74,104,0,0,1,72,49,52,142,109,136
OTU23,149,108,41,42,77,39,85,46,8,0,1,1,92,61,10,88,105,168,100,44,2,69,143,73,153,80,14,69,110,62,8,2,0,46,115,61,2,0,0,72,116,76,91,85,10
OTU24,85,113,128,53,44,40,57,33,46,7,4,1,65,59,70,77,50,143,60,60,75,80,86,76,53,59,62,118,98,118,10,5,6,150,95,63,0,2,1,72,55,52,87,96,101
OTU25,62,61,27,82,91,102,43,70,31,2,1,4,29,66,10,21,20,83,105,107,36,32,46,61,38,40,19,44,59,70,8,0,4,25,70,73,0,0,0,15,35,31,81,65,23
OTU26,38,39,29,32,55,32,101,120,43,2,1,3,44,96,16,20,59,70,64,77,29,51,120,78,56,80,19,67,57,82,3,1,0,29,72,91,0,0,2,29,61,62,72,68,36
OTU27,44,59,88,109,57,56,102,132,212,3,3,3,48,65,83,71,49,129,108,84,88,190,148,123,41,49,56,119,68,65,9,3,4,187,112,109,3,1,2,76,51,42,63,98,159
OTU28,50,46,75,132,96,115,57,50,59,6,2,6,47,70,66,65,31,108,73,82,116,54,29,49,47,64,59,153,42,67,6,3,2,77,58,62,1,0,0,43,36,36,146,95,139
OTU29,57,60,24,72,99,130,45,61,27,1,2,1,47,70,12,26,26,93,139,115,57,40,57,65,41,53,26,73,81,85,3,2,3,17,46,46,0,0,0,9,24,22,76,60,15
OTU30,32,42,58,265,123,128,72,67,96,3,2,1,37,54,52,56,36,96,181,134,178,119,90,76,42,55,64,133,78,66,2,2,2,65,57,50,0,0,2,38,29,40,71,62,90
OTU31,119,155,105,86,51,57,119,92,121,3,1,3,50,44,53,50,23,97,70,65,58,115,85,87,49,44,48,58,53,76,3,0,1,66,36,34,0,0,0,48,38,53,80,79,87
OTU32,43,50,63,151,87,93,42,79,101,3,5,1,55,76,69,54,35,88,137,90,119,82,75,66,30,53,59,149,86,76,2,0,0,100,65,75,1,0,0,35,26,22,83,69,74
OTU33,16,19,4,1,0,10,43,61,63,1,1,1,1,1,0,11,18,31,8,2,4,36,92,55,9,8,9,3,38,2,0,0,0,71,3,0,0,0,0,2,1,2,7,277,2
